,Name,Location,Area,JobId,JobType,Link,Department,PrivateAdvertiser,Featured,Datetime,Class,Subclass,Remark
14,Office Administrator,Canterbury,Rest of Canterbury,50632185,standout,https://www.seek.co.nz/job/50632185?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,Morgan & Pollard Landscapes Ltd,0,0,2022-12-21 16:59,administration & office support,administrative assistants,
15,Customer Service Officer,Canterbury,Timaru & South Canterbury,50614282,standout,https://www.seek.co.nz/job/50614282?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,CM Trailer Parts,0,0,2022-12-19 16:59,administration & office support,client & sales administration,
16,Administration Assistant - Mt Wellington,Auckland,Auckland Central,50638817,standout,https://www.seek.co.nz/job/50638817?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,Harvey Norman,0,0,2022-12-24 12:59,administration & office support,administrative assistants,
17,Part-Time Health & Disability Administrative Assistant,Auckland,"Auckland CentralAuckland Central,$20 - $24.99 per hour",50610748,standout,https://www.seek.co.nz/job/50610748?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,LIFEWISE,0,0,2022-12-18 16:59,nan,nan,$20 - $24.99 per hour
18,"Office Coordinator, Whangarei Youth Space",Northland,Whangarei,50633756,standard,https://www.seek.co.nz/job/50633756?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,Whangarei Youth Space,0,0,2022-12-21 16:59,administration & office support,administrative assistants,
19,Administrator,Manawatu,Rest of Manawatu,50604829,standard,https://www.seek.co.nz/job/50604829?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,,1,0,2022-12-17 16:59,administration & office support,other,
20,Administration Officer - Part Time,Auckland,Auckland Central,50637525,standout,https://www.seek.co.nz/job/50637525?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,HiFlo Pumps Ltd,0,0,2022-12-22 16:59,administration & office support,administrative assistants,
21,Part-Time Admin/Accounts Person,Auckland,Papakura & Franklin,50631111,standout,https://www.seek.co.nz/job/50631111?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,People Passion,0,0,2022-12-21 16:59,administration & office support,administrative assistants,
22,Business Support Administrator,Bay of Plenty,Tauranga,50591178,promoted,https://www.seek.co.nz/job/50591178?type=promoted#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,S&L Land Development and Design Specialists,0,1,,administration & office support,administrative assistants,
23,Reception/Administrator,Auckland,"Rodney & North ShoreRodney & North Shore,$19 to $22 per hour",50556340,promoted,https://www.seek.co.nz/job/50556340?type=promoted#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,Fishing and Leisure Group Limited,0,1,,nan,nan,$19 to $22 per hour
24,Office Co-Ordinator,Waikato,Rest of Waikato,50632905,standard,https://www.seek.co.nz/job/50632905?type=standard#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,Paeroa Farm Services Ltd,0,0,2022-12-21 16:59,administration & office support,office management,
25,Office Administrator,Auckland,"Manukau & East AucklandManukau & East Auckland,$20 - $24.99 per hour",50621389,standard,https://www.seek.co.nz/job/50621389?type=standard#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,Brant Homes Limited,0,0,2022-12-20 16:59,nan,nan,$20 - $24.99 per hour
26,Administration & Customer Service,Auckland,Auckland Central,50637747,standard,https://www.seek.co.nz/job/50637747?type=standard#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,ACE,0,0,2022-12-22 16:59,administration & office support,administrative assistants,
27,Administrator,Canterbury,Christchurch,50631960,standout,https://www.seek.co.nz/job/50631960?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,EnviroWaste Services Limited,0,0,2022-12-21 16:59,administration & office support,administrative assistants,
28,Receptionist / Administrator,Hawkes Bay,Hastings,50636107,standout,https://www.seek.co.nz/job/50636107?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,PROGRESSIVE MEATS LIMITED,0,0,2022-12-21 16:59,administration & office support,administrative assistants,
29,Administrator - Street To Home,Auckland,Auckland Central,50638937,standout,https://www.seek.co.nz/job/50638937?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,Auckland City Mission,0,0,2022-12-24 12:59,administration & office support,administrative assistants,
30,Administrative Support,Otago,Queenstown & Wanaka,50606027,standard,https://www.seek.co.nz/job/50606027?type=standard#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,Commercial and Rural Insurance Brokers,0,0,2022-12-18 16:59,administration & office support,administrative assistants,
31,Medical Receptionist,Wellington,Wellington Central,50633231,standard,https://www.seek.co.nz/job/50633231?type=standard#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,Brooklyn Medical Centre,0,0,2022-12-21 16:59,administration & office support,administrative assistants,
32,Receptionist / Office Administration,Canterbury,Christchurch,50620963,standout,https://www.seek.co.nz/job/50620963?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,foley group architecture,0,0,2022-12-20 16:59,administration & office support,receptionists,
33,People And Culture Administrator,Otago,Rest of Otago,50617769,standout,https://www.seek.co.nz/job/50617769?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,OceanaGold (New Zealand) Ltd,0,0,2022-12-19 16:59,administration & office support,client & sales administration,
34,Senior Support Officer,Wellington,Wellington Central,50628770,standout,https://www.seek.co.nz/job/50628770?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,WorkSafe New Zealand,0,0,2022-12-21 16:59,administration & office support,administrative assistants,
35,Administrator,Waikato,Hamilton,50613404,standout,https://www.seek.co.nz/job/50613404?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,Wise Group,0,0,2022-12-19 16:59,administration & office support,administrative assistants,
36,Office Administrator,Waikato,"Rest of WaikatoRest of Waikato,$20 - $24.99 per hour",50621878,standard,https://www.seek.co.nz/job/50621878?type=standard#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,Best Mates Pet Food,0,0,2022-12-20 16:59,nan,nan,$20 - $24.99 per hour
37,Provider Registration Administrator - Lower Hutt,Wellington,Hutt Valley,50638763,standout,https://www.seek.co.nz/job/50638763?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,ACC,0,0,2022-12-24 11:59,administration & office support,administrative assistants,
38,Receptionist / Admin Support,Canterbury,Christchurch,50621050,standard,https://www.seek.co.nz/job/50621050?type=standard#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,STOP Services,0,0,2022-12-20 16:59,administration & office support,receptionists,
39,Colliers Rural - Office Administrator (Part Time),Bay of Plenty,Rotorua,50615101,standout,https://www.seek.co.nz/job/50615101?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,Private Group,0,0,2022-12-19 16:59,administration & office support,administrative assistants,
40,Part Time Administrator,Waikato,Rest of Waikato,50628924,standard,https://www.seek.co.nz/job/50628924?type=standard#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,Heyden Farms Ltd,0,0,2022-12-21 16:59,administration & office support,administrative assistants,
41,Operations Administrator,Taranaki,New Plymouth,50631460,standout,https://www.seek.co.nz/job/50631460?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,Port Taranaki Limited,0,0,2022-12-21 16:59,administration & office support,administrative assistants,
42,Receptionist / Accounts Administrator,Manawatu,"Palmerston NorthPalmerston North,$40,000 - $49,999",50638893,standard,https://www.seek.co.nz/job/50638893?type=standard#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,Robertson Motor Group,0,0,2022-12-24 12:59,nan,nan,"$40,000 - $49,999"
43,Office Administrators,Wellington,Wellington Central,50628972,standout,https://www.seek.co.nz/job/50628972?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,SOLGM,0,0,2022-12-21 16:59,administration & office support,administrative assistants,
44,Accounts And Office Assistant,Wellington,Wellington Central,50564208,promoted,https://www.seek.co.nz/job/50564208?type=promoted#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Geeks on Wheels,0,1,,administration & office support,administrative assistants,
45,Administrator/Secretarial Support,Auckland,Auckland Central,50529232,promoted,https://www.seek.co.nz/job/50529232?type=promoted#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,The Heart Group,0,1,,administration & office support,"pa, ea & secretarial",
46,Supporter Care & Database Administrator,Auckland,Waitakere & West Auckland,50623039,standard,https://www.seek.co.nz/job/50623039?type=standard#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,SPCA,0,0,2022-12-20 16:59,administration & office support,data entry & word processing,
47,Personal Assistant/Administrator,Wellington,Wellington Central,50638815,standout,https://www.seek.co.nz/job/50638815?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Department of Conservation,0,0,2022-12-24 12:59,administration & office support,administrative assistants,
48,Administrative And Organisational Superstar,Northland,"WhangareiWhangarei,$25 per hour",50633998,standout,https://www.seek.co.nz/job/50633998?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Grit Engineering Ltd,0,0,2022-12-21 16:59,nan,nan,$25 per hour
49,Office Assistant,Canterbury,Timaru & South Canterbury,50623434,standout,https://www.seek.co.nz/job/50623434?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,NetYourJob,0,0,2022-12-20 16:59,administration & office support,administrative assistants,
50,Administrator (Including School Bus Co-Ordinator),Auckland,Manukau & East Auckland,50630931,standout,https://www.seek.co.nz/job/50630931?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Saint Kentigern Trust,0,0,2022-12-21 16:59,administration & office support,administrative assistants,
51,Office Administrator,Hawkes Bay,Hastings,50597891,standard,https://www.seek.co.nz/job/50597891?type=standard#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Fourth Element,0,0,2022-12-17 16:59,administration & office support,office management,
52,Administration Specialist,Waikato,Hamilton,50610033,standard,https://www.seek.co.nz/job/50610033?type=standard#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,"GJ Gardner Homes, Waikato",0,0,2022-12-18 16:59,administration & office support,administrative assistants,
53,Administration Officer,Auckland,Manukau & East Auckland,50602547,standout,https://www.seek.co.nz/job/50602547?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Stauff Corporation Pty Ltd,0,0,2022-12-17 16:59,administration & office support,administrative assistants,
54,Business Support Officer,Wellington,Wellington Central,50606822,standout,https://www.seek.co.nz/job/50606822?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Wellington City Council,0,0,2022-12-18 16:59,administration & office support,administrative assistants,
55,Customer Services And Administration Officer,Taranaki,Rest of Taranaki,50606374,standout,https://www.seek.co.nz/job/50606374?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Taranaki Regional Council,0,0,2022-12-18 16:59,administration & office support,administrative assistants,
56,Clinical Administrator (Job Share),Wellington,Hutt Valley,50631149,standout,https://www.seek.co.nz/job/50631149?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Te Omanga Hospice,0,0,2022-12-21 16:59,administration & office support,administrative assistants,
57,Office / Client Administrator,Waikato,"HamiltonHamilton,Includes life and health insurance",50605173,standout,https://www.seek.co.nz/job/50605173?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Perpetual Guardian,0,0,2022-12-18 16:59,nan,nan,includes life and health insurance
58,Office / Administration Manager,Bay of Plenty,"TaurangaTauranga,$60 000 - $70 000 per annum",50613327,standard,https://www.seek.co.nz/job/50613327?type=standard#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,0,0,2022-12-19 16:59,nan,nan,$60 000 - $70 000 per annum
59,Full Time Receptionist/Administrator,Auckland,"Manukau & East AucklandManukau & East Auckland,$20.00 per hour",50617901,standard,https://www.seek.co.nz/job/50617901?type=standard#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Professionals Real Estate - Papatoetoe,0,0,2022-12-19 16:59,nan,nan,$20.00 per hour
60,Administrator,Bay of Plenty,Tauranga,50582301,standout,https://www.seek.co.nz/job/50582301?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,,1,0,2022-12-13 16:59,administration & office support,office management,
61,Administration Support - Health (Contract),Auckland,Manukau & East Auckland,50616292,standout,https://www.seek.co.nz/job/50616292?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Serco Asia Pacific,0,0,2022-12-19 16:59,administration & office support,administrative assistants,
62,Accounts Administrator,Taranaki,New Plymouth,50631687,standout,https://www.seek.co.nz/job/50631687?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Landmark Homes Taranaki,0,0,2022-12-21 16:59,administration & office support,administrative assistants,
63,Office / Client Administrator,Auckland,"Auckland CentralAuckland Central,Includes life and health insurance",50597000,standout,https://www.seek.co.nz/job/50597000?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Perpetual Guardian,0,0,2022-12-16 16:59,nan,nan,includes life and health insurance
64,Administration Specialist - Construction,Auckland,Rodney & North Shore,50638765,standout,https://www.seek.co.nz/job/50638765?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,,1,0,2022-12-24 11:59,administration & office support,administrative assistants,
65,Receptionist,Otago,Dunedin,50632280,standout,https://www.seek.co.nz/job/50632280?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Deloitte - NZ,0,0,2022-12-21 16:59,administration & office support,receptionists,
66,Office Administrator / Kiripaepae,Bay of Plenty,"Rest of Bay of PlentyRest of Bay of Plenty,$20 - $24.99 per hour",50597146,promoted,https://www.seek.co.nz/job/50597146?type=promoted#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Te Runanga of Ngati Whakaue ki Maketu,0,1,,nan,nan,$20 - $24.99 per hour
67,Administrator,Bay of Plenty,Tauranga,50582301,promoted,https://www.seek.co.nz/job/50582301?type=promoted#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,,1,1,,administration & office support,office management,
68,Information And Sustainable Transport Assistant,Marlborough,Blenheim,50613258,standout,https://www.seek.co.nz/job/50613258?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Marlborough District Council,0,0,2022-12-19 16:59,administration & office support,data entry & word processing,
69,Team Member Customer Service,Auckland,Rodney & North Shore,50629895,standout,https://www.seek.co.nz/job/50629895?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Bunnings,0,0,2022-12-21 16:59,administration & office support,receptionists,
70,Office Administrator- Flexible Fixed-Term,Waikato,Hamilton,50605913,standard,https://www.seek.co.nz/job/50605913?type=standard#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Livewire HR Limited,0,0,2022-12-18 16:59,administration & office support,administrative assistants,
71,Administrator,Auckland,Rodney & North Shore,50607763,standout,https://www.seek.co.nz/job/50607763?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,,1,0,2022-12-18 16:59,administration & office support,other,
72,Service Delivery Administrator-Wiri,Auckland,Manukau & East Auckland,50599778,standout,https://www.seek.co.nz/job/50599778?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Royal New Zealand Plunket Trust,0,0,2022-12-17 16:59,administration & office support,administrative assistants,
73,Office Assistant,Auckland,Manukau & East Auckland,50629874,standard,https://www.seek.co.nz/job/50629874?type=standard#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Adecco Office,0,0,2022-12-21 16:59,administration & office support,administrative assistants,
74,Administration Manager,Bay of Plenty,Rotorua,50625535,standout,https://www.seek.co.nz/job/50625535?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,IHC,0,0,2022-12-20 16:59,administration & office support,office management,
75,Personal Assistant & Office Manager,Canterbury,"ChristchurchChristchurch,$55,000 - $69,999",50631694,standard,https://www.seek.co.nz/job/50631694?type=standard#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Widespan South Island 2015 Ltd,0,0,2022-12-21 16:59,nan,nan,"$55,000 - $69,999"
76,Customer Care Administrator,Auckland,Auckland Central,50456853,standout,https://www.seek.co.nz/job/50456853?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Harvey Furnishings,0,0,2022-12-21 16:59,administration & office support,administrative assistants,
77,Office Administrator/ Receptionist,Wellington,"Wellington CentralWellington Central,$20.00 per hour.",50607720,standard,https://www.seek.co.nz/job/50607720?type=standard#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Aztec Finance,0,0,2022-12-18 16:59,nan,nan,$20.00 per hour.
78,Office Administrator,Auckland,"Papakura & FranklinPapakura & Franklin,$20 - $24.99 per hour",50607500,standout,https://www.seek.co.nz/job/50607500?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Cavanagh & Associates Ltd,0,0,2022-12-18 16:59,nan,nan,$20 - $24.99 per hour
79,Casual Administrator,Auckland,Auckland Central,50613331,standard,https://www.seek.co.nz/job/50613331?type=standard#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Auckland District Health Board,0,0,2022-12-19 16:59,administration & office support,administrative assistants,
80,Customer Services Officer,Auckland,Auckland Central,50614001,standout,https://www.seek.co.nz/job/50614001?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Elite School of Beauty and Spa,0,0,2022-12-19 16:59,administration & office support,administrative assistants,
81,Remote Receptionist / Front Of Hours / Accounts Clerk,Auckland,"Manukau & East AucklandManukau & East Auckland,$21 per hour",50631407,standard,https://www.seek.co.nz/job/50631407?type=standard#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Swimsation Swim Schools,0,0,2022-12-21 16:59,nan,nan,$21 per hour
82,Development Contributions Assessment Officer,Waikato,"HamiltonHamilton,$55,000 - $64,999",50629996,standout,https://www.seek.co.nz/job/50629996?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Hamilton City Council,0,0,2022-12-21 16:59,nan,nan,"$55,000 - $64,999"
83,Customer Services,Auckland,Waitakere & West Auckland,50622331,standard,https://www.seek.co.nz/job/50622331?type=standard#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Hobsonville Marina,0,0,2022-12-20 16:59,administration & office support,client & sales administration,
84,Administrator/Booking  Clerk -  Cardiothoracic,Waikato,Hamilton,50607526,standard,https://www.seek.co.nz/job/50607526?type=standard#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Waikato District Health Board,0,0,2022-12-18 16:59,administration & office support,administrative assistants,
85,Senior Administration Officer,Wellington,Wellington Central,50614537,standout,https://www.seek.co.nz/job/50614537?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,CAA/Avsec,0,0,2022-12-19 16:59,administration & office support,other,
86,Office Administrator (3 Months),Canterbury,Christchurch,50625380,standout,https://www.seek.co.nz/job/50625380?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Not Socks Gifts Ltd,0,0,2022-12-20 16:59,administration & office support,administrative assistants,
87,Administrator/Receptionist,Waikato,Thames & Coromandel,50599184,standard,https://www.seek.co.nz/job/50599184?type=standard#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Waikato District Health Board,0,0,2022-12-17 16:59,administration & office support,receptionists,
88,Administrator,Auckland,Auckland Central,50515557,promoted,https://www.seek.co.nz/job/50515557?type=promoted#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Anywhere International Group,0,1,,administration & office support,administrative assistants,
89,Office Administrator - Full-Time Ellerslie/Mt Wellington,Auckland,"Auckland CentralAuckland Central,$50,000 - $55,000 plus benefits",50602110,promoted,https://www.seek.co.nz/job/50602110?type=promoted#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Pool Magic Ltd,0,1,,nan,nan,"$50,000 - $55,000 plus benefits"
90,Bilingual Office Administrator,Auckland,Manukau & East Auckland,50602178,standard,https://www.seek.co.nz/job/50602178?type=standard#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Vistalite South Auckland,0,0,2022-12-17 16:59,administration & office support,administrative assistants,
91,"Administrator, Intelligence & Reporting",Wellington,Wellington Central,50639360,standout,https://www.seek.co.nz/job/50639360?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Environmental Protection Authority (EPA),0,0,2022-12-24 14:59,administration & office support,administrative assistants,
92,Receptionist,Otago,Dunedin,50613682,standout,https://www.seek.co.nz/job/50613682?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Ryman Healthcare,0,0,2022-12-19 16:59,administration & office support,receptionists,
93,Receptionist,Otago,Dunedin,50613649,standout,https://www.seek.co.nz/job/50613649?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Ryman Healthcare,0,0,2022-12-19 16:59,administration & office support,receptionists,
94,Client Assistant / Administrator,Manawatu,"Palmerston NorthPalmerston North,incl Life & Health Insurance",50605343,standout,https://www.seek.co.nz/job/50605343?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Perpetual Guardian,0,0,2022-12-18 16:59,nan,nan,incl life & health insurance
95,Export Admin Support,Hawkes Bay,Hastings,50583111,standard,https://www.seek.co.nz/job/50583111?type=standard#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,,1,0,2022-12-13 16:59,administration & office support,administrative assistants,
96,Contract Administrator / Reception,Auckland,Rodney & North Shore,50624551,standout,https://www.seek.co.nz/job/50624551?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Rodney West Residential Limited,0,0,2022-12-20 16:59,administration & office support,contracts administration,
97,Administration,Auckland,"Auckland CentralAuckland Central,$45,000 - $49,999",50613350,standard,https://www.seek.co.nz/job/50613350?type=standard#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,First AML,0,0,2022-12-19 16:59,nan,nan,"$45,000 - $49,999"
98,Personal Assistant,Wellington,Wellington Central,50631495,standout,https://www.seek.co.nz/job/50631495?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Environmental Protection Authority (EPA),0,0,2022-12-21 16:59,administration & office support,"pa, ea & secretarial",
99,Administration Manager,Auckland,Rodney & North Shore,50591139,standout,https://www.seek.co.nz/job/50591139?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Right Recruit,0,0,2022-12-14 16:59,administration & office support,office management,
100,Client Care / Reception,Waikato,Rest of Waikato,50631933,standout,https://www.seek.co.nz/job/50631933?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Vetora,0,0,2022-12-21 16:59,administration & office support,receptionists,
101,Administrator / Marketing Support,Taranaki,New Plymouth,50631418,standout,https://www.seek.co.nz/job/50631418?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Baker Tilly Staples Rodway HR,0,0,2022-12-21 16:59,administration & office support,administrative assistants,
102,Personal Assistant,Manawatu,Palmerston North,50632492,standout,https://www.seek.co.nz/job/50632492?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Cavanagh & Associates Ltd,0,0,2022-12-21 16:59,administration & office support,"pa, ea & secretarial",
103,Office Administrator / Pa,Wellington,"Wellington CentralWellington Central,$55,000 - $60,000 per annum pro rata",50610172,standout,https://www.seek.co.nz/job/50610172?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Forté Recruitment Ltd,0,0,2022-12-18 16:59,nan,nan,"$55,000 - $60,000 per annum pro rata"
